title,id,price,condition,availability,channel,feed label,language,additional image link,all clicks,brand,description,image link,link,rating average,rating count,shipping(country),new_title,meta_description,image_alt
1800 Reposado Tequila,610c15917226c1699afb16f1,46.99 USD,new,in stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,0,1800 Tequila,"1800 Reposado tequila is crafted using 100% Tequilana Weber blue agave cared for and handpicked by expert farmers in the highlands of Jalisco, Mexico. A selection of double-distilled white tequilas are blended together then matured in French and American oak barrels. This rich liquid has notes of buttery caramel, mild spices and a touch of smokiness, which is imparted by the finishing process. Perfect mixed in a cocktail or on the rocks. (ABV 40% - 80 proof)",https://cityhive-production-cdn.cityhive.net/products/5a325f3d4fbd341fe571f95d/large.png?format=square,https://legacywineandliquor.com/shop/product/1800-reposado-tequila/610c15917226c1699afb16f1?option-id=f3de1c3632f430e4f43943db80e78b5dd8e00182a445ab15a179c439bb42e07e,3.8,67.0,US,"Premium 1800 Reposado Tequila - 100% Blue Agave, Jalisco",,Meta: Discover 1800 Reposado Tequila by 1800 Tequila. Enjoy rich caramel notes and mild spices. Order now for a taste of Jalisco's finest!
Balvenie 21yr Port Wood Single Malt,56c3370e69702d27ed190200,299.99 USD,new,in stock,Online,US,en,,0,The Balvenie,"The Balvenie PortWood 21 Year Old Single Malt Scotch Whisky is a marriage of rare Balvenie aged 21 years in traditional oak casks and then finished in port casks or “pipes”. The taste is refined and with remarkable character, it is creamy and silky on the palate, with fruit, honey and spice notes. On the nose it is perfume of fruity and ripe raisin notes, backed by a nutty dryness with a long, gentle and nutty finish.
Best enjoyed neat, on the rocks or with a splash of water to expand the flavor.
The Balvenie is dedicated to the five rare crafts that are used to create The Balvenie’s distinctive taste. It is the only distillery that still grows its own barley, uses traditional floor maltings and keeps both coppersmiths and coopers on site – making The Balvenie one of the most handcrafted of malts.
The Balvenie is a unique range of single malt whiskies produced in Dufftown, Scotland’s Speyside region. Created by internationally renowned Malt Master David C. Stewart MBE, each variant in the range has its own unique taste, while still maintaining the recognizable undertones of the distinctively rich, smooth and honeyed character of The Balvenie. It has won awards at numerous international competitions, including an Outstanding Achievement in The Scotch Whisky Industry Award for David C. Stewart MBE at the 2019 International Wine & Spirit Competition.
Handcrafted to be enjoyed responsibly.",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/balvenie-21yr-port-wood-single-malt/56c3370e69702d27ed190200?option-id=480fc92a85b0f608c3f5aadd089b5c5e4d9a8b9288593e2d26259b3d4fbff1d6,3.9,14.0,US,Balvenie 21 Year PortWood Single Malt Scotch Whisky,,"Meta: Discover Balvenie 21yr PortWood Single Malt. Experience luxury with our award-winning Scotch. Buy now and savor the rich, smooth flavors."
Nip Rum Grind Espresso Shot Caramel,63f7ce99a115a60d29bf774f,0.99 USD,new,in stock,Online,US,en,,0,Grind,"Get Nip Rum Grind Espresso Shot Caramel from Legacy Wine and Liquor, Sanford, FL for $0.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/nip-rum-grind-espresso-shot-caramel/63f7ce99a115a60d29bf774f?option-id=5dbf0b1bed25efbbd926e06d70de8a0a7c5704915b38a93e7af883c119497e02,,,US,Caramel Espresso Shot - Nip Rum Grind | Legacy Wine & Liquor,,"Meta: Discover Nip Rum Grind Caramel Espresso Shot at Legacy Wine & Liquor. Buy now for just $0.99! Perfect for coffee lovers in Sanford, FL."
Cachaca Santo Grau Paraty 750m,5d49e0b660fa507b0329e2d3,24.99 USD,new,out of stock,Online,US,en,,0,,"Get Cachaca Santo Grau Paraty 750m from Legacy Wine and Liquor, Sanford, FL for $24.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/santo-grau-paraty/5d49e0b660fa507b0329e2d3?option-id=5c4fe249b4cf64f91b371416941cefafc5089bd15aadbf8bfb97c9bc5868a840,,,US,Premium Santo Grau Paraty Cachaca 750ml - Authentic Brazilian Spirit,,Meta: Discover Santo Grau Paraty Cachaca at Legacy Wine & Liquor. Buy now for $24.99 and enjoy authentic Brazilian flavor.
Jack Daniels Single Barrel Bp Rye 750,6568beb6267c5f2ffbcedf7d,79.99 USD,new,in stock,Online,US,en,,0,,"Get Jack Daniels Single Barrel Bp Rye 750 from Legacy Wine and Liquor, Sanford, FL for $79.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/jack-daniels-single-barrel-bp-rye-750/6568beb6267c5f2ffbcedf7d?option-id=24bf1edf4f2db9ab178e1c054c1f33e32a675ce26b5333402df937d46e1bb6d9,,,US,Jack Daniels Single Barrel Rye 750ml - Premium Whiskey,Discover Jack Daniels Single Barrel Rye at Legacy Wine & Liquor. Buy now for $79.99!,Jack Daniels Single Barrel Rye 750ml Whiskey Bottle
Sexton Single Malt Irish Whisky,5e70e0719f996d12204001ee,24.99 USD,new,out of stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,0,,"The creation of master blender Alex Thomas, The Sexton Single Malt Irish whiskey is made from 100% Irish malted barley, triple distilled in copper pot stills. After, the liquid is aged in Spanish Oloroso sherry casks imparting a rich and fruity character. It comes in a rather eye-catching hexagonal bottle, too.",https://cityhive-production-cdn.cityhive.net/products/660c39eabdf20f2adf81ec57/large.png?format=square,https://legacywineandliquor.com/shop/product/sexton-single-malt-irish-whisky/5e70e0719f996d12204001ee?option-id=2856538a1dd63a2384c2f93cd34e79d452d2e5e06cb1951959be759024c60351,,,US,"Sexton Single Malt Irish Whiskey - Rich, Fruity, Triple Distilled",,"Meta: Discover Sexton Single Malt Irish Whiskey by Alex Thomas. Enjoy rich, fruity notes. Shop now for a unique taste experience in a striking hexagonal bottle."
Crown Royal,56caa9897562752ed57b1500,46.99 USD,new,in stock,Online,US,en,"https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://cityhive-production-cdn.cityhive.net/products/56f5afb869702d77c8560000/large.png?format=square",0,Crown Royal,"Unwind in luxury with a glass of Crown Royal Fine Deluxe Blended Canadian Whisky. With a silky texture and hints of oak and sweet vanilla, our 80 proof whisky provides a refined flavor that enhances any cocktail party or celebration. Matured to perfection, our deluxe whisky is the standard of excellence for Canadian whisky. Simply mix with cola and pour over ice for a classic, refreshing tasting cocktail. Includes one 80 proof 1.75 L bottle of Fine Deluxe Blended Canadian Whisky. Please drink responsibly.",https://cityhive-production-cdn.cityhive.net/products/56f5afb869702d77c8560000/large.png,https://legacywineandliquor.com/shop/product/crown-royal/56caa9897562752ed57b1500?option-id=e82794d062d8e9db4c6ea4a93aa518f8f38772ee90d340597807039be3c4baa9,4.8,32.0,US,Crown Royal Fine Deluxe Canadian Whisky - 1.75L Bottle,,"Meta: Discover Crown Royal's Fine Deluxe Canadian Whisky at [Brand]. Enjoy its silky, oak-vanilla flavor. Order now for a refined cocktail experience!"
Spelletich Cellars Chardonnay Napa Valley Wine,5f7ef176cfb5bc2ad2d03991,0.99 USD,new,in stock,Online,US,en,,0,New Amsterdam,"Get Spelletich Cellars Chardonnay Napa Valley Wine from Legacy Wine and Liquor, Sanford, FL for $0.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/spelletich-cellars-chardonnay-napa-valley-wine/5f7ef176cfb5bc2ad2d03991?option-id=e4461d23eb9b28aa11f2d3c501daae5b0d9681866c2546b065bd7f172d2bf9ad,,,US,Napa Valley Chardonnay Wine - Spelletich Cellars,Discover Spelletich Cellars Napa Chardonnay at Legacy Wine & Liquor. Buy now for just $0.99!,Spelletich Cellars Chardonnay Napa Valley Wine Bottle
Seagrams Strawberry Lemonade Vodka,6193fd81cd18fa2a40c55e9e,3.99 USD,new,in stock,Online,US,en,,0,Seagram's,"Get Seagrams Strawberry Lemonade Vodka from Legacy Wine and Liquor, Sanford, FL for $3.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/seagrams-strawberry-lemonade-vodka/6193fd81cd18fa2a40c55e9e?option-id=66be64ab4ff7e3e3b3dd338905e4440598e33f74cf7f307ffb777ffecc4b4919,,,US,Seagram's Strawberry Lemonade Flavored Vodka 750ml,Shop Seagram's Strawberry Lemonade Vodka at Legacy Wine & Liquor. Buy now for just $3.99 and enjoy refreshing flavors.,Seagram's Strawberry Lemonade Vodka bottle 750ml
Suncreek Schmello Smores Stout,654eed295be19301c0b9b97b,2.75 USD,new,out of stock,Online,US,en,,0,,"Get Suncreek Schmello Smores Stout from Legacy Wine and Liquor, Sanford, FL for $2.75",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/suncreek-schmello-smores-stout/654eed295be19301c0b9b97b?option-id=2faf894685aaf9bdbfdc7ade1541958978cd1316cf3f957908832e5429b3bbe5,,,US,Suncreek Schmello S'mores Stout Beer - Buy Online,,Meta: Discover Suncreek Schmello S'mores Stout at Legacy Wine & Liquor. Buy now for $2.75 and enjoy a unique brew experience!
Legacy Wine and Liquor,5aa5bba4baa7135808f01f9c,8.99 USD,new,out of stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/5ab6c110f4a661589b0bacde/large.png?format=square,0,Heineken,"Legacy Wine & Liquor offers premium wines, spirits, and rare finds. Same-day pickup or delivery across Sanford, FL. Shop bourbon, tequila, wine, and more.",https://cityhive-production-cdn.cityhive.net/products/5ab6c110f4a661589b0bacde/large.png,https://legacywineandliquor.com/shop/product/heineken-lager/5aa5bba4baa7135808f01f9c?option-id=a9c6dc36ae3a11e864b74a1e393f9985759efb2b8fb315fc5581d87a6ff0954d,,,US,Premium Wines & Spirits | Legacy Wine & Liquor Store Sanford,,"Meta: Discover premium wines & spirits at Legacy Wine & Liquor. Shop now for bourbon, tequila, and more. Fast delivery or pickup in Sanford, FL!"
Canadian Hunter Canadian Whisky,58afb61201ff9523117909dc,18.99 USD,new,in stock,Online,US,en,,0,Canadian Hunter,"Get Canadian Hunter Canadian Whisky from Legacy Wine and Liquor, Sanford, FL for $18.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/canadian-hunter-canadian-whisky/58afb61201ff9523117909dc?option-id=a6330e21a2e0fbad2b9f43d331a53b012d62997862bc2f60a4ae27955e715cb0,5.0,4.0,US,Canadian Hunter Whisky - Smooth Canadian Spirit,,Meta: Discover Canadian Hunter Whisky at Legacy Wine and Liquor. Buy now for just $18.99!
Black & Mild Jazz Plastic Single,5c33f078b605191aa383b402,1.29 USD,new,in stock,Online,US,en,,0,Black & Mild,"Get Black & Mild Jazz Plastic Single from Legacy Wine and Liquor, Sanford, FL for $1.29",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/black-mild-jazz-plastic-single/5c33f078b605191aa383b402?option-id=6b73e27e1c554459390c8f92795c7eb9c21daa1c4a866573de36cd487a56c3c3,,,US,Black & Mild Jazz Plastic Cigar - Single Pack,,Meta: Discover Black & Mild Jazz Plastic Single at Legacy Wine and Liquor. Buy now for just $1.29!
Unshackled Red Blend,5e14c1e5a38e091a12cea918,25.99 USD,new,out of stock,Online,US,en,,0,The Prisoner Wine Company,"Unshackled Red Blend Red Wine, created by the innovative winemakers of The Prisoner Wine Company, unfolds with aromas of raspberry, blueberry, and crushed violets. A purity of fruit is apparent in every sip of this cherry wine, a red wine blend that shuns traditional boundaries. Flavors of spiced dried cherries, florals, and a hint of white pepper translate to a balanced and uplifting California red wine with a generous mouthfeel. Sourced from California's Central and North Coasts, this delicious blend of Zinfandel, Malbec, Petite Sirah, Syrah, and Grenache varietals is barrel-aged for almost a year in new French and American oak. Pair this jammy red wine with BBQ pork ribs or a portobello mushroom burger. For best taste, store at room temperature, but chill for 30 minutes prior to serving. With Unshackled Red Blend, freedom is a state of mind. Please enjoy our wines responsibly. 2021 The Prisoner Wine Company, Oakville, CA",https://cityhive-production-cdn.cityhive.net/products/610c3e4e33f5187ec3011d91/large.png?format=square,https://legacywineandliquor.com/shop/product/unshackled-red-blend/5e14c1e5a38e091a12cea918?option-id=a81998ebc01794e67838e05b00bacb68af475bf78ecd9407ce8e7a89d54ca771,4.5,4.0,US,"Unshackled Red Blend Wine - Bold California Red, 750ml",,"Meta: Discover Unshackled Red Blend by The Prisoner Wine Co. Aromatic, bold, and perfect for BBQ. Order now and taste freedom. Enjoy responsibly."
Filibuster Heard Rye Frn Btch,56caafbd7562752ed54f1600,46.99 USD,new,in stock,Online,US,en,,0,Dark Horse,"Get Filibuster Heard Rye Frn Btch from Legacy Wine and Liquor, Sanford, FL for $46.99",https://cityhive-production-cdn.cityhive.net/products/56caafbf7562752ed5501600/large.jpg?format=square,https://legacywineandliquor.com/shop/product/filibuster-heard-rye-frn-btch/56caafbd7562752ed54f1600?option-id=c6a1182a194068a01efeb7136d1aee9a408e106189fe4607baecadff2b63c02f,2.5,2.0,US,"Filibuster Heard Rye Whiskey - Small Batch, Premium Spirits",Discover Filibuster Heard Rye Whiskey at Legacy Wine & Liquor. Shop now for $46.99 and enjoy premium quality.,Filibuster Heard Rye Whiskey Bottle - Small Batch Premium Spirits
196 Lemon Vodka Seltzer,67a504394d2fa445d437bdc7,8.99 USD,new,in stock,Online,US,en,,0,,Real whole fruit. Frozen and crushed at -196° using a proprietary Japanese process then infused with premium vodka and natural flavors to delivery ultimate refreshing taste and whole fruit flavor.,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/196-lemon-vodka-seltzer/67a504394d2fa445d437bdc7?option-id=67bb0de5dab089546f61e652b83c94abc5553f1cf97e6d4e56f273dd51b5a581,,,US,Premium Lemon Vodka Seltzer - Refreshing & Natural,Discover the ultimate refreshment with our 196 Lemon Vodka Seltzer. Enjoy real fruit flavor and premium vodka. Shop now for a taste of luxury!,196 Lemon Vodka Seltzer with Real Fruit and Premium Vodka
Reyka Small Batch Vodka,5521cef56561310003190200,22.99 USD,new,in stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/61377fb530d4207cc4624a6c/large.png?format=square,0,Reyka,"Reyka is an Icelandic vodka with a smooth, crisp and clean taste made from one the purest glacial spring water in the world.Pairs well with ice and everything else. You never go wrong with The Mozzarella Caprese Bloody Mary! That’s what every tomato dreams of being when they grow up.Reyka is distilled from wheat and barley in small batches to ensure exceptional quality. Each distillation takes about 6 hours and makes only 255 cases. The distillery is powered by geothermal energy from underground volcanoes.Iceland is a place unlike anywhere. And home to a vodka unlike any other.Skal, which means ‘cheers’!Please drink Reyka responsibly. Takk! (that’s ‘thank you’)",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/reyka-small-batch-vodka/5521cef56561310003190200?option-id=2b5edb52e6cc946df67e11f3639bd9ac67f9b597fd6a7bfb3c5e1cc2fb087566,4.7,3.0,US,Reyka Icelandic Small Batch Vodka - Smooth & Crisp Taste,,Meta: Discover Reyka Vodka's pure Icelandic taste. Enjoy small batch quality with geothermal energy. Cheers with Reyka today!
Hidden Springs Humble Pie Berliner Weisse 4 pk,5e62dee0fbbb7f477800e207,17.99 USD,new,out of stock,Online,US,en,"https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://cityhive-production-cdn.cityhive.net/products/62d8719c4b0f362775f3e851/large.png?format=square",0,,"Get Hidden Springs Humble Pie Berliner Weisse 4 pk from Legacy Wine and Liquor, Sanford, FL for $17.99",https://cityhive-production-cdn.cityhive.net/products/62d8719c4b0f362775f3e851/large.png,https://legacywineandliquor.com/shop/product/hidden-springs-humble-pie-berliner-weisse-4-pk/5e62dee0fbbb7f477800e207?option-id=f9b5fba684e2f385ee151a81384d25c4f2a296dd24e2c334c75a7b583b32206d,,,US,Humble Pie Berliner Weisse 4-Pack | Hidden Springs,"Discover Hidden Springs Humble Pie Berliner Weisse 4-Pack at Legacy Wine and Liquor. Shop now in Sanford, FL for just $17.99!",Hidden Springs Humble Pie Berliner Weisse 4-Pack
Jagermeister Mini Meister,64e7d4cdc04b2828845d34e2,17.99 USD,new,in stock,Online,US,en,,0,Jägermeister,"Get Jagermeister Mini Meister from Legacy Wine and Liquor, Sanford, FL for $17.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/jagermeister-mini-meister/64e7d4cdc04b2828845d34e2?option-id=910038e1ceb4d2517726f2d91a6a79f2fe0a3db1ac46000b70895843c3496ad7,5.0,1.0,US,Jagermeister Mini Bottles - Buy Online at Legacy Wine & Liquor,,"Meta: Discover Jagermeister Mini Bottles at Legacy Wine & Liquor, Sanford. Shop now for just $17.99 and enjoy fast delivery!"
Clear Lighter,5cdaf71466bfd125c6d40029,0.99 USD,new,in stock,Online,US,en,,0,,"98 Point winner SF World Spirits Competition. Pepper on the tip of the tongue gives way to sweet caramel, vanilla, and lemongrass. Velvety finish. Higher viscosity yields a smooth, elegant mouthfeel that shines in both vodka cocktails and neat pours
RATINGS or BEST ENJOYED: Chilled. When you need to lubricate the palate or your mood
FROM: Austria",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/clear-lighter/5cdaf71466bfd125c6d40029?option-id=62d790084d0dc45f53670c36d28cb7b4de629cd887c72a56c7a5e762f8ffb4f9,,,US,Premium Austrian Vodka - Award-Winning Smooth & Velvety Finish,,"Meta: Discover our award-winning Austrian vodka with a smooth, velvety finish. Perfect for cocktails or neat. Shop now at [Brand Name]!"
Tripping Animals Hot Shot Imperial Stout Aged In Woodford Reserve Barrels,66c9519b751ed2038de16ca7,32.99 USD,new,in stock,Online,US,en,,0,Imperial 12,"Get Tripping Animals Hot Shot Imperial Stout Aged In Woodford Reserve Barrels from Legacy Wine and Liquor, Sanford, FL for $32.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/tripping-animals-hot-shot-imperial-stout-aged-in-woodford-reserve-barrels/66c9519b751ed2038de16ca7?option-id=cfbfe86eb58d583f564784a373d0bfad1d10c0890b829ad2261603e9c85bffe5,,,US,Tripping Animals Imperial Stout - Woodford Barrel Aged Beer,Discover Tripping Animals Imperial Stout at Legacy Wine & Liquor. Buy now for $32.99 and savor the Woodford Reserve barrel-aged flavor.,Tripping Animals Imperial Stout aged in Woodford Reserve barrels.
Knob Creek Bourbon Whiskey,5fda8b7586ea097432ea9993,69.99 USD,new,in stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/66ec76a335ccaf2c6960e0c8/large.png?format=square,0,Knob Creek,"The original that started it all, Knob Creek Kentucky Straight Bourbon Whiskey is still made to exacting standards. Knob Creek is aged to fully draw out the natural sugars in its charred white oak barrels. This exceptional, full-bodied bourbon strikes the senses with an oak aroma, a sweet, woody, full-bodied, almost fruity taste, with a long, rich finish. Created to reflect the flavor, strength, care, and patience that defined whiskey before Prohibition, Knob Creek is perfect neat or on the rocks with one or two ice cubes. Knob Creek is part of The Small Batch Bourbon Collection. Explore the entire Knob Creek Family for yourself and discover what whiskey was meant to be.",https://cityhive-production-cdn.cityhive.net/products/66ec76a335ccaf2c6960e0c8/large.png,https://legacywineandliquor.com/shop/product/knob-creek-bourbon-whiskey/5fda8b7586ea097432ea9993?option-id=214a704162ae0954c1cb14b9e4135a115c05184982bebed10eb2a8f5a3fe1a93,4.1,69.0,US,"Knob Creek Kentucky Bourbon Whiskey - Full-Bodied, Rich Flavor",,"Meta: Discover Knob Creek Bourbon by The Small Batch Collection. Enjoy rich, full-bodied taste. Perfect neat or on the rocks. Shop now!"
New Amsterdam Vodka 100 Proof,57aa3e9469702d1fad7bab01,29.99 USD,new,out of stock,Online,US,en,"https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://cityhive-production-cdn.cityhive.net/products/58f5437678c81a3c2fc40b5e/large.png?format=square",0,New Amsterdam,"New Amsterdam Vodka was born from an uncompromising passion for great vodka. This commitment to excellence delivers a great-tasting vodka with unparalleled smoothness. 5 times distilled and 3 times filtered to deliver a clean crisp taste that is smooth enough to drink straight or complement any cocktail. Our 100 Proof Vodka has aromas of sweet frosting and light citrus with an impressively smooth, clean finish.",https://cityhive-production-cdn.cityhive.net/products/58f5437678c81a3c2fc40b5e/large.png,https://legacywineandliquor.com/shop/product/new-amsterdam-vodka-100-proof/57aa3e9469702d1fad7bab01?option-id=ad969a9fed0785d53ab3723df4b8eada08faf47a9d6ee9dd30fe5e305476e5a2,,,US,"New Amsterdam 100 Proof Vodka - Smooth, Premium Quality",,Meta: Discover New Amsterdam 100 Proof Vodka. Enjoy unparalleled smoothness and a clean finish. Shop now for premium taste with New Amsterdam.
Balvenie 12yr Doublewood Single Malt Scotch,5521ceef6561310003360000,79.99 USD,new,in stock,Online,US,en,,0,The Balvenie,"The Balvenie doublewood acquired its complex rich and smooth taste from its maturation in two different types of oak cask. Whisky Oak: Many years of maturation in traditional whisky casks mellows the maturing spirit and imparts warming layers of vanilla spiciness. First cask. Sherry Oak: Further maturation in European oak sherry casks increases complexity, bringing fruity, honeyed depths to the resulting single malt. Second cask. Double Wood: The Traditional Crafts of malt whisky making still flourish at the Balvenie distillery. The Balvenie Distillery has been owned and managed by the same independent family company for five generations. Nowhere else will you find a distillery that still grows its own barley, still malts in its own traditional floor maltings and stil employes a team of coopers to tend all the casks and a coppersmith to maintain the stills. The fifth rare craft is that of Malt Master, David Stewart. Over fifty years of experience enables him to skilfully use different types of cask and different ages of spirit ot craft The Balvenie range of single malts. Each expression has a distinctive taste, but all share a rich, honeyed character. Warehouse 24 is The Balvenie's community for whisky enthusiasts who want to a delve a little deeper into the world of the handcrafted single malt. Handcrafted to be enjoyed responsibly. Our traditional floor maltings. Today's maltings were built in the 1920s. Our maltmen turn the barley up to four times a day, seven days a week.",https://cityhive-production-cdn.cityhive.net/products/65302ae00202df2bf1853e48/large.png?format=square,https://legacywineandliquor.com/shop/product/balvenie-12yr-doublewood-single-malt-scotch/5521ceef6561310003360000?option-id=62f6d3977a37e73b72f302bf312c68d72ff5d4ccce316421a0f30d6d6d02fea2,4.3,30.0,US,"Balvenie 12yr Doublewood Scotch - Rich, Smooth Single Malt",,"Meta: Discover Balvenie's 12yr Doublewood Scotch, crafted in oak casks for a rich, smooth taste. Join Warehouse 24 for exclusive insights. Enjoy responsibly."
Seagram's Peach Vodka,5a386d7b4ce3f96a6c009420,5.99 USD,new,out of stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/5fe0aaf9fd254d2450ce0be0/large.png?format=square,0,Seagram's,"Indiana- Seagram's Lime Flavored Vodka is a sweet, refreshing, lime flavored vodka with a smooth finish. Seagram's Vodka has been trusted since 1857, representing quality and tradition. Produced with high quality American grain, serve it straight or on the rocks.",https://cityhive-production-cdn.cityhive.net/products/5fe0aaf9fd254d2450ce0be0/large.png,https://legacywineandliquor.com/shop/product/seagrams-peach-vodka/5a386d7b4ce3f96a6c009420?option-id=1230afca2945b21ce6a8c5c74f87b513ac9c4c78c39dee2f75ffa44afd056e6f,,,US,Seagram's Peach Vodka - Smooth & Refreshing Flavored Spirit,,"Meta: Discover Seagram's Peach Vodka, a smooth, fruity delight from a trusted brand since 1857. Elevate your cocktails today!"
D’USSE VSOP Cognac,59e1418a2c4a91056aab7729,21.99 USD,new,in stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/680626e4bf3dde3246fa149a/large.png?format=square,6,D'ussé,"D’USSE VSOP Cognac is made from a selection of the finest Eaux-de-vie, including some that were carefully matured in the cellars of the Chateau de Cognac. This cognac liquor is naturally aged for at least four and a half years in French oak wine casks, resulting in a uniquely powerful cognac with bold intensity and a pleasantly smooth and balanced finish. On the nose, D'USSE Cognac alcohol reveals a powerful bouquet that's rich in woody notes and layered with touches of cinnamon and floral notes. Enjoy this cognac brandy neat, or mix it into alcohol drinks such as D'USSE and Lemonade or Champagne Sparkler cocktail. Please Drink Responsibly.",https://cityhive-production-cdn.cityhive.net/products/680626e4bf3dde3246fa149a/large.png,https://legacywineandliquor.com/shop/product/d-usse-vsop-cognac/59e1418a2c4a91056aab7729?option-id=2601d2c02f4956ace2450d9fd413e6304ebb518855bdf078ba8d4040bf6f204c,4.4,12.0,US,D’USSE VSOP Cognac - Premium Aged French Brandy,,"Meta: Discover D’USSE VSOP Cognac by Chateau de Cognac. Enjoy its bold, smooth finish. Shop now for a refined taste experience. Please Drink Responsibly."
Calumet Farm Single Rack Black Bourbon 16 yr,6272ea015122e31ef7a598d3,159.99 USD,new,in stock,Online,US,en,"https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://cityhive-production-cdn.cityhive.net/products/635874bf3aeefb258288fc41/large.png?format=square",0,Calumet Farm,"Calumet Farm 16 Year Old Bourbon Whiskey is newest offering from our stables of the Single Rack Black premium bourbon line. Its bold tastes and flavors are matched perfectly well with a balanced finish. As a tribute to one of the greatest thoroughbreds in racing history, this bourbon represents the dedication and patience it take to create a champion. This expression of the Calumet Farm Bourbon family is our most aged and highest proof to date. It is Non-Chill Filtered for added depth of character and color.",https://cityhive-production-cdn.cityhive.net/products/635874bf3aeefb258288fc41/large.png,https://legacywineandliquor.com/shop/product/calumet-farm-single-rack-black-bourbon-16-yr/6272ea015122e31ef7a598d3?option-id=1fd788c4309dc166f4c3524cbd6a126f39c183bccb36180638bbe3000924a4f7,5.0,3.0,US,Calumet Farm 16-Year Single Rack Black Bourbon Whiskey,,"Meta: Discover Calumet Farm's 16-Year Single Rack Black Bourbon. Bold flavors, balanced finish. Shop now for premium taste. Unleash the champion within."
Fox Brook White Zinfandel,56ca4e587562752ed5a10300,9.99 USD,new,out of stock,Online,US,en,,0,Fox Brook,"Fox Brook Winery makes wines that aim to titillate the tongue and stimulate the senses. Whether you select a jammy Fox Brook Winery Cabernet Sauvignon, a lightly floral Fox Brook Winery Moscato, or a berry-rich Fox Brook Winery White Zinfandel, a delightful taste experience awaits.",https://cityhive-production-cdn.cityhive.net/products/610dc9b3dab7327fb9d5529f/large.png?format=square,https://legacywineandliquor.com/shop/product/fox-brook-white-zinfandel/56ca4e587562752ed5a10300?option-id=18fad5447729139ff8af6961885403c34a89178de6da447e7b36932dfe3d5538,,,US,Fox Brook White Zinfandel Wine - Berry-Rich Delight,,Meta: Discover Fox Brook's White Zinfandel. Indulge in berry-rich flavors. Shop now for a delightful taste experience with Fox Brook Wines.
